question_id,quiz_id,question,choice1,choice2,choice3,choice4,correct_answer,answer_source,explanation
26,3,5をカタカナ読みすると？,回答1,ゴ,回答3,回答4,2,https://runteq.jp/,説明説明説明説明説明説明
27,3,6をカタカナ読みすると？,回答1,回答2,ロク,回答4,3,https://runteq.jp/,説明説明説明説明説明説明
28,3,7をカタカナ読みすると？,回答1,回答2,回答3,ナナ,4,https://runteq.jp/,説明説明説明説明説明説明
29,3,8をカタカナ読みすると？,ハチ,回答2,回答3,回答4,1,https://runteq.jp/,説明説明説明説明説明説明
30,3,9をカタカナ読みすると？,回答1,キュウ,回答3,回答4,2,https://runteq.jp/,説明説明説明説明説明説明
31,4,1を漢字にすると？,一,回答2,回答3,回答4,1,https://runteq.jp/,説明説明説明説明説明説明
32,4,2を漢字にすると？,回答1,二,回答3,回答4,2,https://runteq.jp/,説明説明説明説明説明説明
33,4,3を漢字にすると？,回答1,回答2,三,回答4,3,https://runteq.jp/,説明説明説明説明説明説明
34,4,4を漢字にすると？,回答1,回答2,回答3,四,4,https://runteq.jp/,説明説明説明説明説明説明
35,4,5を漢字にすると？,五,回答2,回答3,回答4,1,https://runteq.jp/,説明説明説明説明説明説明
36,4,6を漢字にすると？,回答1,六,回答3,回答4,2,https://runteq.jp/,説明説明説明説明説明説明
37,4,7を漢字にすると？,回答1,回答2,七,回答4,3,https://runteq.jp/,説明説明説明説明説明説明
38,4,8を漢字にすると？,回答1,回答2,回答3,八,4,https://runteq.jp/,説明説明説明説明説明説明
39,4,9を漢字にすると？,九,回答2,回答3,回答4,1,https://runteq.jp/,説明説明説明説明説明説明
40,4,10を漢字にすると？,回答1,十,回答3,回答4,2,https://runteq.jp/,説明説明説明説明説明説明
41,5,0をひらがな読みすると？,ぜろ,回答2,回答3,回答4,1,https://runteq.jp/,説明説明説明説明説明説明
42,5,1をひらがな読みすると？,回答1,いち,回答3,回答4,2,https://runteq.jp/,説明説明説明説明説明説明
43,5,2をひらがな読みすると？,回答1,回答2,に,回答4,3,https://runteq.jp/,説明説明説明説明説明説明
44,5,3をひらがな読みすると？,回答1,回答2,回答3,さん,4,https://runteq.jp/,説明説明説明説明説明説明
45,5,4をひらがな読みすると？,よん,回答2,回答3,回答4,1,https://runteq.jp/,説明説明説明説明説明説明
46,5,5をひらがな読みすると？,回答1,ご,回答3,回答4,2,https://runteq.jp/,説明説明説明説明説明説明
47,5,6をひらがな読みすると？,回答1,回答2,ろく,回答4,3,https://runteq.jp/,説明説明説明説明説明説明
48,5,7をひらがな読みすると？,回答1,回答2,回答3,なな,4,https://runteq.jp/,説明説明説明説明説明説明
49,5,8をひらがな読みすると？,はち,回答2,回答3,回答4,1,https://runteq.jp/,説明説明説明説明説明説明
50,5,9をひらがな読みすると？,回答1,きゅう,回答3,回答4,2,https://runteq.jp/,説明説明説明説明説明説明
51,6,0をカタカナ読みすると？,ゼロ,回答2,回答3,回答4,1,https://runteq.jp/,説明説明説明説明説明説明
52,6,1をカタカナ読みすると？,回答1,イチ,回答3,回答4,2,https://runteq.jp/,説明説明説明説明説明説明
53,6,2をカタカナ読みすると？,回答1,回答2,ニ,回答4,3,https://runteq.jp/,説明説明説明説明説明説明
54,6,3をカタカナ読みすると？,回答1,回答2,回答3,サン,4,https://runteq.jp/,説明説明説明説明説明説明
55,6,4をカタカナ読みすると？,ヨン,回答2,回答3,回答4,1,https://runteq.jp/,説明説明説明説明説明説明
56,6,5をカタカナ読みすると？,回答1,ゴ,回答3,回答4,2,https://runteq.jp/,説明説明説明説明説明説明
57,6,6をカタカナ読みすると？,回答1,回答2,ロク,回答4,3,https://runteq.jp/,説明説明説明説明説明説明
58,6,7をカタカナ読みすると？,回答1,回答2,回答3,ナナ,4,https://runteq.jp/,説明説明説明説明説明説明
59,6,8をカタカナ読みすると？,ハチ,回答2,回答3,回答4,1,https://runteq.jp/,説明説明説明説明説明説明
60,6,9をカタカナ読みすると？,回答1,キュウ,回答3,回答4,2,https://runteq.jp/,説明説明説明説明説明説明
61,7,1を漢字にすると？,一,回答2,回答3,回答4,1,https://runteq.jp/,説明説明説明説明説明説明
62,7,2を漢字にすると？,回答1,二,回答3,回答4,2,https://runteq.jp/,説明説明説明説明説明説明
63,7,3を漢字にすると？,回答1,回答2,三,回答4,3,https://runteq.jp/,説明説明説明説明説明説明
64,7,4を漢字にすると？,回答1,回答2,回答3,四,4,https://runteq.jp/,説明説明説明説明説明説明
65,7,5を漢字にすると？,五,回答2,回答3,回答4,1,https://runteq.jp/,説明説明説明説明説明説明
66,7,6を漢字にすると？,回答1,六,回答3,回答4,2,https://runteq.jp/,説明説明説明説明説明説明
67,7,7を漢字にすると？,回答1,回答2,七,回答4,3,https://runteq.jp/,説明説明説明説明説明説明
68,7,8を漢字にすると？,回答1,回答2,回答3,八,4,https://runteq.jp/,説明説明説明説明説明説明
69,7,9を漢字にすると？,九,回答2,回答3,回答4,1,https://runteq.jp/,説明説明説明説明説明説明
70,7,10を漢字にすると？,回答1,十,回答3,回答4,2,https://runteq.jp/,説明説明説明説明説明説明
71,8,0をひらがな読みすると？,ぜろ,回答2,回答3,回答4,1,https://runteq.jp/,説明説明説明説明説明説明
72,8,1をひらがな読みすると？,回答1,いち,回答3,回答4,2,https://runteq.jp/,説明説明説明説明説明説明
73,8,2をひらがな読みすると？,回答1,回答2,に,回答4,3,https://runteq.jp/,説明説明説明説明説明説明
74,8,3をひらがな読みすると？,回答1,回答2,回答3,さん,4,https://runteq.jp/,説明説明説明説明説明説明
75,8,4をひらがな読みすると？,よん,回答2,回答3,回答4,1,https://runteq.jp/,説明説明説明説明説明説明
76,8,5をひらがな読みすると？,回答1,ご,回答3,回答4,2,https://runteq.jp/,説明説明説明説明説明説明
77,8,6をひらがな読みすると？,回答1,回答2,ろく,回答4,3,https://runteq.jp/,説明説明説明説明説明説明
78,8,7をひらがな読みすると？,回答1,回答2,回答3,なな,4,https://runteq.jp/,説明説明説明説明説明説明
79,8,8をひらがな読みすると？,はち,回答2,回答3,回答4,1,https://runteq.jp/,説明説明説明説明説明説明
80,8,9をひらがな読みすると？,回答1,きゅう,回答3,回答4,2,https://runteq.jp/,説明説明説明説明説明説明
81,9,0をカタカナ読みすると？,ゼロ,回答2,回答3,回答4,1,https://runteq.jp/,説明説明説明説明説明説明
82,9,1をカタカナ読みすると？,回答1,イチ,回答3,回答4,2,https://runteq.jp/,説明説明説明説明説明説明
83,9,2をカタカナ読みすると？,回答1,回答2,ニ,回答4,3,https://runteq.jp/,説明説明説明説明説明説明
84,9,3をカタカナ読みすると？,回答1,回答2,回答3,サン,4,https://runteq.jp/,説明説明説明説明説明説明
85,9,4をカタカナ読みすると？,ヨン,回答2,回答3,回答4,1,https://runteq.jp/,説明説明説明説明説明説明
86,9,5をカタカナ読みすると？,回答1,ゴ,回答3,回答4,2,https://runteq.jp/,説明説明説明説明説明説明
87,9,6をカタカナ読みすると？,回答1,回答2,ロク,回答4,3,https://runteq.jp/,説明説明説明説明説明説明
88,9,7をカタカナ読みすると？,回答1,回答2,回答3,ナナ,4,https://runteq.jp/,説明説明説明説明説明説明
89,9,8をカタカナ読みすると？,ハチ,回答2,回答3,回答4,1,https://runteq.jp/,説明説明説明説明説明説明
90,9,9をカタカナ読みすると？,回答1,キュウ,回答3,回答4,2,https://runteq.jp/,説明説明説明説明説明説明
